VDOT,Easy/Long Mile,Marathon Pace Mile,Threshold Pace 400m,Threshold Pace 1000m,Threshold Pace Mile,Interval Pace 400m,Interval Pace 1000m,Interval Pace 1200m,Interval Pace Mile,Repeat Pace 200m,Repeat Pace 400m,Repeat Pace 800m
30,12:40,11:01,02:33,06:24,10:18,02:22,-, -, -,67,2:16, -
31,12:22,10:45,02:30,06:14,10:02,02:18,-, -, -,65,2:12,
32,12:04,10:29,02:26,06:05,09:47,02:14,-, -, -,63,2:08, -
33,11:48,10:14,02:23,05:56,09:33,02:11,-, -, -,62,2:05,
34,11:32,10:00,02:19,05:48,09:20,02:08,-, -, -,60,2:02, -
35,11:17,9:46,02:16,05:40,09:07,02:05,-, -, -,59,1:59,
36,11:02,9:33,02:13,05:33,08:55,02:02,-, -, -,57,1:55, -
37,10:49,9:20,02:10,05:25,08:44,01:59,05:00, -, -,56,1:53, -
38,10:35,9:08,02:07,05:19,08:33,01:56,04:54, -, -,54,1:50, -
39,10:23,8:57,02:05,05:12,08:22,01:54,04:48, -, -,53,1:48, -
40,10:11,8:46,02:02,05:06,08:12,01:52,04:42, -, -,52,1:46, -
41,9:59,8:35,02:00,05:00,08:02,01:50,04:36, -, -,51,1:44, -
42,9:48,8:25,01:57,04:54,07:52,01:48,04:31, -, -,50,1:42, -
43,9:37,8:15,01:55,04:49,07:42,01:46,04:26, -, -,49,1:40, -
44,9:27,8:06,01:53,04:43,07:33,01:44,04:21, -, -,48,98, -
45,9:17,7:57,01:51,04:38,07:25,01:42,04:16, -, -,47,96, -
46,9:07,7:48,01:49,04:33,07:17,01:40,04:12,05:00, -,46,94, -
47,8:58,7:40,01:47,04:29,07:10,01:38,04:07,04:54, -,45,92, -
48,8:49,7:32,01:45,04:24,07:02,01:36,04:03,04:49, -,44,90, -
49,8:40,7:24,01:43,04:20,06:55,01:35,03:59,04:45, -,44,89, -
50,8:32,7:17,01:42,04:15,06:51,01:33,03:55,04:41, -,43,87, -
51,8:24,7:09,01:40,04:11,06:44,01:32,03:51,04:36, -,42,86, -
52,8:16,7:02,01:38,04:07,06:38,01:31,03:48,04:33, -,42,85, -
53,8:09,6:56,01:37,04:04,06:32,01:30,03:44,04:29, -,41,84, -
54,8:01,6:49,01:35,04:00,06:26,01:28,03:41,04:25, -,40,82, -
55,7:54,6:43,01:34,03:56,06:20,01:27,03:37,04:21, -,40,81, -
56,7:48,6:37,01:33,03:53,06:15,01:26,03:34,04:18, -,39,80, -
57,7:41,6:31,01:31,03:50,06:09,01:25,03:31,04:15, -,39,79, -
58,7:34,6:25,01:30,03:45,06:04,01:23,03:28,04:10, -,38,77, -
59,7:28,6:19,01:29,03:43,05:59,01:22,03:25,04:07, -,37,76, -
60,7:22,6:14,01:28,03:40,05:54,01:21,03:23,04:03, -,37,75,2:30
61,7:16,6:09,01:26,03:37,05:50,01:20,03:20,04:00, -,36,74,2:28
62,7:11,6:04,01:25,03:34,05:45,01:19,03:17,03:57, -,36,73,2:26
63,7:05,5:59,01:24,03:32,05:41,01:18,03:15,03:54, -,35,72,2:24
64,7:00,5:54,01:23,03:29,05:36,01:17,03:12,03:51, -,35,71,2:22
65,6:54,5:49,01:22,03:26,05:32,01:16,03:10,03:48, -,34,70,2:20
66,6:49,5:45,01:21,03:24,05:28,01:15,03:08,03:45,5:00,34,69,2:18
67,6:44,5:40,01:20,03:21,05:24,01:14,03:05,03:42,4:57,33,68,2:16
68,6:39,5:36,01:19,03:19,05:20,01:13,03:03,03:39,4:53,33,67,2:14
69,6:35,5:32,01:18,03:16,05:16,01:12,03:01,03:36,4:5,32,66,2:12
70,6:30,5:28,01:17,03:14,05:13,01:11,02:59,03:34,4:46,32,65,2:10
71,6:26,5:24,01:16,03:12,05:09,01:10,02:57,03:31,4:43,31,64,2:08
72,6:21,5:20,01:16,03:10,05:05,01:09,02:55,03:29,4:4,31,63,2:06
73,6:17,5:16,01:15,03:08,05:02,01:09,02:53,03:27,4:37,31,62,2:05
74,6:l3,5:12,01:14,03:06,04:59,01:08,02:51,03:25,4:34,30,62,2:04
75,6:09,5:09,01:14,03:04,04:56,01:07,02:49,03:22,4:31,30,61,2:03
76,6:05,5:05,01:13,03:02,04:52,01:06,02:48,03:20,4:28,29,60,2:02
77,6:01,5:01,01:12,03:00,04:49,01:05,02:46,03:18,4:25,29,59,2:00
78,5:57,4:58,01:11,02:58,04:46,01:05,02:44,03:16,4:23,29,59,1:59
79,5:54,4:55,01:10,02:56,04:43,01:04,02:42,03:14,4:2,28,58,1:58
80,5:50,4:52,01:10,02:54,04:41,01:04,02:41,03:12,4:17,28,58,1:56
81,5:46,4:49,01:09,02:53,04:38,01:03,02:39,03:10,4:15,28,57,1:55
82,5:43,4:46,01:08,02:51,04:35,01:02,02:38,03:08,4:12,27,56,1:54
83,5:40,4:43,01:08,02:49,04:32,01:02,02:36,03:07,4:1,27,56,1:53
84,5:36,4:40,01:07,02:48,04:30,01:01,02:35,03:05,4:08,27,55,1:52
85,5:33,4:37,01:06,02:46,04:27,01:01,02:33,03:03,4:05,27,55,1:51
