VDOT,1500m,Mile,3k,2mile,5k,10k,15k,Half Marathon,Marathon
85,3:23.5,3:39.6,7:14.1,7:48.9,12:37,26:19,40:17,57:50,2:01:10
84,3:25.5,3:41.8,7:18.5,7:53.7,12:45,26:34,40:42,58:25,2:02:24
83,3:27.6,3:44.1,7:23.1,7:58.7,12:53,26:51,41:06,59:01,2:03:40
82,3:29.7,3:46.4,7:27.8,8:03.7,13:01,27:07,41:32,59:38,2:04:57
81,3:31.9,3:48.7,7:32.5,8:08.9,13:09,27:24,41:58,1:00:15,2:06:17
80,3:34.2,3:51.2,7:37.5,8:14.2,13:18,27:41,42:25,1:00:54,2:07:38
79,3:36.5,3:53.7,7:43,8:20,13:26,27:59,42:52,1:01:34,2:09:02
78,3:38.8,3:56.2,7:48,8:25,13:35,28:17,43:20,1:02:15,2:10:27
77,3:41,3:58,7:53,8:31,13:44,28:36,43:49,1:02:56,2:11:54
76,3:44,4:02,7:58,8:37,13:54,28:55,44:18,1:03:39,2:13:23
75,3:46,4:04,8:04,8:43,14:03,29:14,44:48,1:04:23,2:14:55
74,3:49,4:07,8:10,8:49,14:13,29:34,45:19,1:05:08,2:16:29
73,3:52,4:10,8:16,8:55,14:23,29:55,45:51,1:05:54,2:18:05
72,3:54,4:13,8:22,9:02,14:33,30:16,46:24,1:06:42,2:19:44
71,3:57,4:16,8:28,9:09,14:44,30:38,46:58,1:07:31,2:21:26
70,4:00,4:19,8:34,9:16,14:55,31:00,47:32,1:08:21,2:23:10
69,4:03,4:23,8:41,9:23,15:06,31:23,48:08,1:09:12,2:24:57
68,4:06,4:26,8:48,9:30,15:18,31:46,48:44,1:10:05,2:26:47
67,4:10,4:30,8:55,9:37,15:29,32:11,49:22,1:11:00,2:28:40
66,4:13,4:33,9:02,9:45,15:42,32:35,50:00,1:11:56,2:30:36
65,4:16,4:37,9:09,9:53,15:54,33:01,50:40,1:12:53,2:32:35
64,4:20,4:41,9:17,10:01,16:07,33:28,51:21,1:13:53,2:34:38
63,4:24,4:45,9:25,10:10,16:20,33:55,52:03,1:14:54,2:36:44
62,4:27,4:49,9:33,10:18,16:34,34:23,52:47,1:15:57,2:38:54
61,4:31,4:53,9:41,10:27,16:48,34:52,53:32,1:17:02,2:41:08
60,4:35,4:57,9:50,10:37,17:03,35:22,54:18,1:18:09,2:43:25
59,4:39,5:02,9:58,10:46,17:17,35:52,55:06,1:19:18,2:45:47
58,4:44,5:06,10:08,10:56,17:33,36:24,55:55,1:20:30,2:48:14
57,4:48,5:11,10:17,11:06,17:49,36:57,56:46,1:21:43,2:50:45
56,4:53,5:16,10:27,11:17,18:05,37:31,57:39,1:23:00,2:53:20
55,4:57,5:21,10:37,11:28,18:22,38:06,58:33,1:24:18,2:56:01
54,5:02,5:27,10:47,11:39,18:40,38:42,59:30,1:25:40,2:58:47
53,5:07,5:32,10:58,11:50,18:58,39:20,1:00:28,1:27:04,3:01:39
52,5:13,5:38,11:09,12:02,19:17,39:59,1:01:29,1:28:31,3:04:36
51,5:18,5:44,11:21,12:15,19:36,40:39,1:02:31,1:30:02,3:07:39
50,5:24,5:50,11:33,12:28,19:57,41:21,1:03:36,1:31:35,3:10:49
49,5:30,5:56,11:45,12:41,20:18,42:04,1:04:44,1:33:12,3:14:06
48,5:36,6:03,11:58,12:55,20:39,42:50,1:05:53,1:34:53,3:17:29
47,5:42,6:10,12:12,13:10,21:02,43:36,1:07:06,1:36:38,3:21:00
46,5:49,6:17,12:26,13:25,21:25,44:25,1:08:22,1:38:27,3:24:39
45,5:56,6:25,12:40,13:40,21:50,45:16,1:09:40,1:40:20,3:28:26
44,6:03,6:32,12:55,13:56,22:15,46:09,1:11:02,1:42:17,3:32:23
43,6:11,6:41,13:11,14:13,22:41,47:04,1:12:27,1:44:20,3:36:28
42,6:19,6:49,13:28,14:31,23:09,48:01,1:13:56,1:46:27,3:40:43
41,6:27,6:58,13:45,14:49,23:38,49:01,1:15:29,1:48:40,3:45:09
40,6:35,7:07,14:03,15:08,24:08,50:03,1:17:06,1:50:59,3:49:45
39,6:44,7:17,14:21,15:29,24:39,51:09,1:18:47,1:53:24,3:54:34
38,6:54,7:27,14:41,15:49,25:12,52:17,1:20:33,1:55:55,3:59:35
37,7:04,7:38,15:01,16:11,25:46,53:29,1:22:24,1:58:34,4:04:50
36,7:14,7:49,15:23,16:34,26:22,54:44,1:24:20,2:01:19,4:10:19
35,7:25,8:01,15:45,16:58,27:00,56:03,1:26:22,2:04:13,4:16:03
34,7:37,8:14,16:09,17:24,27:39,57:26,1:28:30,2:07:16,4:22:03
33,7:49,8:27,16:33,17:50,28:21,58:54,1:30:45,2:10:27,4:28:22
32,8:02,8:41,16:59,18:18,29:05,1:00:26,1:33:07,2:13:49,4:34:59
31,8:15,8:55,17:27,18:48,29:51,1:02:03,1:35:36,2:17:21,4:41:57
30,8:30,9:11,17:56,19:19,30:40,1:03:46,1:38:14,2:21:04,4:49:17
